movie_id,movie_name,open_date,genre,rating,director,production_company,distributor_meta,distributor_boxoffice,distributor_final,rep_nation,nation,total_sales_amount,total_audience_count,screen_count_peak,show_count_total,sales_share_peak,boxoffice_year_count,boxoffice_years,match_status,match_strategy
20216726.0,스트리밍,20250321,스릴러,청소년관람불가,조장호,베리굿스튜디오(주),롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,한국,한국,1010579120,104505,819,14876,0.003,1,2025,matched,exact
20256864.0,프랑켄슈타인 : 더 뮤지컬 라이브,20250918,공연,15세이상관람가,박재석,(주)위즈온센,(주)위즈온센|메가박스중앙(주),"(주)위즈온센,메가박스중앙(주)",(주)위즈온센|메가박스중앙(주),한국,한국,2303799100,93574,176,5931,0.006,1,2025,matched,exact
20241110.0,아이유 콘서트 : 더 위닝,20250124,공연,전체관람가,오윤동|이예지,씨제이포디플렉스 주식회사|스크린엑스 스튜디오,씨지브이 아이스콘|씨제이포디플렉스 주식회사,"씨지브이 아이스콘,씨제이포디플렉스 주식회사",씨지브이 아이스콘|씨제이포디플렉스 주식회사,한국,한국,2076626500,75872,118,4741,0.005,1,2025,matched,exact
20194912.0,바이러스,20250507,드라마,12세이상관람가,강이관,더램프(주),(주)바이포엠스튜디오,(주)바이포엠스튜디오,(주)바이포엠스튜디오,한국,한국,662836960,74307,663,10965,0.002,1,2025,matched,exact
20252719.0,힘내라 대한민국,20250227,다큐멘터리,12세이상관람가,,㈜영화사 아리랑,주식회사 킨스튜디오,주식회사 킨스튜디오,주식회사 킨스튜디오,한국,한국,669149760,73093,173,4250,0.002,1,2025,matched,exact
20249641.0,나쁜계집애: 달려라 하니,20251007,애니메이션,전체관람가,허정수,(주)플레이칸|(주)스튜디오고인돌|(주)레드독컬처하우스 ,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),한국,한국,643718230,71075,487,5531,0.002,1,2025,matched,exact
20245485.0,귀시,20250917,공포(호러),15세이상관람가,홍원기,(주)제리굿컴퍼니|쟈니브로스(주),(주)바이포엠스튜디오|(주)제리굿컴퍼니,"(주)바이포엠스튜디오,(주)제리굿컴퍼니",(주)바이포엠스튜디오|(주)제리굿컴퍼니,한국,한국,684153410,68623,621,8483,0.002,1,2025,matched,exact
20253530.0,시크릿쥬쥬 마법의 하모니,20250501,애니메이션,전체관람가,조경호,,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)씨제이이엔엠,한국,한국,585282160,64611,575,5827,0.001,1,2025,matched,exact
20256033.0,고고다이노 극장판: 게코도마뱀의 꿈,20250730,애니메이션,전체관람가,이원재,(주)모꼬지,(주)모꼬지,(주)모꼬지,(주)모꼬지,한국,한국,584539200,63611,209,3904,0.001,1,2025,matched,exact
20255656.0,꼬마마법사 주니토니,20250726,애니메이션,전체관람가,서동해,,씨제이 씨지브이(CJ CGV)(주)|와이드 릴리즈(주),"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",씨제이 씨지브이(CJ CGV)(주)|와이드 릴리즈(주),한국,한국,511399400,58709,170,3073,0.001,1,2025,matched,exact
20224303.0,귀신경찰,20250124,코미디,12세이상관람가,김영준,HJ필름,(주)제이앤씨미디어그룹|와이드 릴리즈(주),"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",(주)제이앤씨미디어그룹|와이드 릴리즈(주),한국,한국,506545800,58661,378,5020,0.001,1,2025,matched,exact
