movie_name,open_date,distributor_boxoffice,boxoffice_years
SIFF2016-특별단편 4,,,2016
아는 여자,20040625,(주)시네마서비스,2016
인디애니페스트2016-독립보행1,,,2016
제15회 미쟝센 단편영화제 미쟝센의 미쟝센 2,,,2016
국내단편1:헤어지고 다시 만나고,,,2016
인정사정 볼 것 없다,19990731,"(주)씨제이이엔엠,(주)시네마서비스",2016|2017|2019|2020|2024|2025
제6회 서울 프라이드 영화제 국내단편1,,,2016
도시를 떠돌다,,,2016
Out : 이반검열 두 번째 이야기,,,2016|2017
은교,20120425,롯데쇼핑㈜롯데엔터테인먼트,2016
국내단편2 : 새로운시작,,,2016
"인디애니페스트2016-파노라마1 - 우울 한 스푼, 달콤살벌 두 스푼",,,2016
풀문 인 차이나,,,2016
제6회 서울 프라이드 영화제 국내단편2,,,2016
416프로젝트 “망각과 기억”,,,2016|2017
스페셜 애니,,(주)시네마달,2016|2017
2016 대단한단편영화제-배우 특별전: 이상희,,,2016
제15회 미쟝센 단편영화제 특별상영,,,2016
제15회 미쟝센 단편영화제 개막식,,,2016
SIFF2016-경쟁단편 2,,,2016
콩나물,,(주)아토,2016|2025
내 이름은 독고탁,19840715,,2016|2022
손님,,(주)아토,2016|2025
SIFF2016-특별단편 5,,,2016
인디다큐페스티발2016 국내신작전 12,,,2016
어우동: 주인 없는 꽃,20150129,(주)드림팩트엔터테인먼트,2016|2022
2016 대단한단편영화제-감독 특별전: 윤가은,,,2016
핵마피아,,,2016|2017|2019
제6회 서울 프라이드 영화제 국내단편3,,,2016
제6회 서울 프라이드 영화제 제작지원작,,,2016
게임회사 여직원들,,,2016
호우시절,20091008,(주)넥스트엔터테인먼트월드(NEW),2016|2017|2018|2019|2020|2021|2023
2016 대단한단편영화제-단편 경쟁 섹션 2,,,2016
SIFF2016-특별단편 2,,,2016
SIFF2016-경쟁단편 1,,,2016
제6회 고양스마트영화제 2일 3부,,,2016
그녀들의 점심시간,,,2016|2017
독고탁 태양을 향해 던져라,,,2016|2022|2024
제6회 고양스마트영화제 1일 3부,,,2016
제15회 미쟝센 단편영화제 김태용 단편 특별전 2,,,2016
인디다큐페스티발2016 포럼 기획3,,,2016
사랑니,20050929,(주)시네마서비스,2016|2023
가현이들,,,2016|2017
2016 대단한단편영화제-단편 경쟁 섹션 1,,,2016
낮은 목소리 3 : 숨결,20000318,,2016|2017|2018|2019|2020
아카이브의 유령들,,,2016
인디애니페스트2016-새벽비행1,,,2016
폴라로이드 작동법,,㈜인디스토리,2016|2024
춘향뎐(春香傳),20000129,,2016|2017
질풍기획,,,2016
2016 대단한단편영화제-단편 경쟁 섹션 3,,,2016
같이,,,2016
여름이 준 선물,,,2016
인디다큐페스티발2016 국내신작전 16,,,2016
대세는 백합,,,2016
10월 단편 상상극장-제10회 대단한 단편영화제 수상작 모음,,,2016
[인디포럼2016] 신작04 시선이 닿는 곳,,,2016
제15회 미쟝센 단편영화제 미쟝센의 미쟝센 1,,,2016
바람커피로드,,,2016
썸남썸녀,,,2016
범전,,,2016|2017
[인디포럼2016] 신작09 겹겹의 의도,,,2016
"[인디포럼2016] 신작12 아아, 우주의 비밀",,,2016
SIFF2016-선택 2,,,2016
[인디포럼2016] 신작03 외침과 속삭임,,,2016
"[인디포럼2016] 신작08 꼼짝마, 죽지마 부활할거야",,,2016
해피엔드,19991211,,2016|2018|2019|2021|2023
국도화끈한극장,,,2016
제15회 미쟝센 단편영화제 여성 감독 특별전 3,,,2016
시린 성장의 노래,,,2016
라디오 스타,20060928,"(주)씨제이이엔엠,(주)시네마서비스",2016|2019
돌고래와 나,,,2016
제15회 미쟝센 단편영화제 여성 감독 특별전 2,,,2016
기쁜 우리 젊은 날,19870502,,2016|2018|2019|2022|2023|2024|2025
2016 대단한단편영화제-단편 초청 섹션 1,,,2016
