movie_name,open_date,total_sales_amount,total_audience_count,screen_count_peak,show_count_total,sales_share_peak,rep_nation,nation,distributor_boxoffice,boxoffice_year_count,boxoffice_years,match_key
언제나 하고싶어,20230612,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,언제나 하고싶어|20230612
그녀들의 과즙,20230811,6000,1,1,1,0,한국,한국,(주)담화,1,2023,그녀들의 과즙|20230811
아내가 된 며느리,20230726,6000,1,1,1,0,한국,한국,(주)담화,1,2023,아내가 된 며느리|20230726
뉴페이스 출장 쓰리섬,20230531,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,뉴페이스 출장 쓰리섬|20230531
아내가 가출했다,20230608,6000,1,1,1,0,한국,한국,주식회사 플릭스코,1,2023,아내가 가출했다|20230608
정액계약,20230728,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,정액계약|20230728
달콤한 구멍,20230609,6000,1,1,1,0,한국,한국,주식회사 바나나픽쳐스,1,2023,달콤한 구멍|20230609
바람난 며느리 ： 섹스에 환장한 시아버지,20230805,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,바람난 며느리 : 섹스에 환장한 시아버지|20230805
꽉 채워줄 남자 있나요？,20230623,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,꽉 채워줄 남자 있나요?|20230623
수치심 없는 음탕 아줌마,20230623,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,수치심 없는 음탕 아줌마|20230623
나만 찾는 우리 형부,20230616,6000,1,1,1,0,한국,한국,(주)씨맥스커뮤니케이션즈,1,2023,나만 찾는 우리 형부|20230616
2대1 출장마사지 2,20230607,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,2대1 출장마사지 2|20230607
여대생의 은밀한 성욕 분출,20230623,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,여대생의 은밀한 성욕 분출|20230623
귀여운 얼굴로 변태 짓 하는 여자들,20230623,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,귀여운 얼굴로 변태 짓 하는 여자들|20230623
여대생 스와핑클럽,20230614,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,여대생 스와핑클럽|20230614
섹스 재활센터,20230607,1000,1,1,1,0,한국,한국,(주)로드하우스,1,2023,섹스 재활센터|20230607
흥건한 그녀의 섬,20230707,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,흥건한 그녀의 섬|20230707
매혹적인 아인의 황홀한 섹스,20230623,1000,1,1,1,0,한국,한국,에이원 미디어,1,2023,매혹적인 아인의 황홀한 섹스|20230623
흠뻑 젖은 여름밤,20230707,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,흠뻑 젖은 여름밤|20230707
어쩌다 동거,20230707,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,어쩌다 동거|20230707
사촌 오빠의 대물,20230622,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,사촌 오빠의 대물|20230622
내 물건을 사랑했던 형수님,20230622,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,내 물건을 사랑했던 형수님|20230622
누나와 공유한 섹스,20230629,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,누나와 공유한 섹스|20230629
미쳐버린 섹스,20230629,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,미쳐버린 섹스|20230629
내 맘대로 맛본 누나,20230706,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,내 맘대로 맛본 누나|20230706
술 취한 여과장을 맛보는 신입사원,20230706,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,술 취한 여과장을 맛보는 신입사원|20230706
갑질하는 사장과 계약직 여직원,20230713,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,갑질하는 사장과 계약직 여직원|20230713
섹스를 너무 좋아하는 그녀,20230713,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,섹스를 너무 좋아하는 그녀|20230713
내 남편을 치료해주세요,20230714,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,내 남편을 치료해주세요|20230714
어린 가정부,20230621,2000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,어린 가정부|20230621
문란한 며느리,20230620,6000,1,1,1,0,한국,한국,(주)코빈커뮤니케이션즈,1,2023,문란한 며느리|20230620
아들아 미안하다,20230721,6000,1,1,1,0,한국,한국,(주)씨맥스커뮤니케이션즈,1,2023,아들아 미안하다|20230721
돌려먹는 남사친,20230628,2000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,돌려먹는 남사친|20230628
음란자매 애인공유,20230710,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,음란자매 애인공유|20230710
은밀한 미용실,20230705,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,은밀한 미용실|20230705
청순한연지의은밀한알몸섹스-무삭제,20230622,1000,1,1,1,0,한국,한국,스마일컨텐츠,1,2023,청순한연지의은밀한알몸섹스-무삭제|20230622
친구 여친이 내 물건을 만졌다!,20230711,6000,1,1,1,0,한국,한국,영드래곤 미디어,1,2023,친구 여친이 내 물건을 만졌다!|20230711
