"영화코드","영화명","개봉일","장르","관람등급","감독","제작사","배급사","국적"
"20166652","동거의 목적(무삭제판)","20160712","멜로/로맨스","청소년관람불가","조성우","(주)씨네토리","(주)제이에이와이이엔터테인먼트","한국"
"20165701","어린여자 : 맛있는 관음","20160708","멜로/로맨스","청소년관람불가","이민환","(주)케이알씨지","(주)케이알씨지","한국"
"20155388","초인","20160505","멜로/로맨스","12세이상관람가","서은영","퍼레이드 픽쳐스|(주)유토","(주)대명문화공장|KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)","한국"
"20164303","나만의 승진 테크닉","20160707","멜로/로맨스","청소년관람불가","강백호","(주)대양미디어","노바엔터테인먼트 ","한국"
"20163121","이웃동서","20160516","멜로/로맨스","청소년관람불가","기대호","전망 PRODUCTION ","전망 PRODUCTION ","한국"
"20161662","P.S. 걸","20160204","스릴러|멜로/로맨스","청소년관람불가","원석호","전망 PRODUCTION ","전망 PRODUCTION ","한국"
"20165662","하고 싶은 날","20160628","멜로/로맨스","청소년관람불가","장정관","(주)푸른별 엔터테인먼트","(주)푸른별 엔터테인먼트","한국"
"20164281","여자전쟁: 비열한 거래","20160616","드라마","청소년관람불가","노진수","(주)베르디미디어","TCO(주)더콘텐츠온","한국"
"20131521","소년 이야기","20160609","드라마","청소년관람불가","변주현","인디픽쳐스|필나인프로덕션","THE 픽쳐스","한국"
"20162581","연애의 발동 : 상해 여자, 부산 남자","20160602","멜로/로맨스|코미디","12세이상관람가","김태균","(주)케이알씨지","(주)케이알씨지","한국|중국"
"20143509","엽기적인 그녀 2","20160512","멜로/로맨스|코미디","15세이상관람가","조근식","(주)신씨네","(주)리틀빅픽쳐스","한국"
"20165042","빅뱅 메이드","20160630","다큐멘터리","12세이상관람가","변진호","(주)와이지엔터테인먼트","씨제이 씨지브이(CJ CGV)(주)","한국"
"20155390","양치기들","20160602","드라마|범죄|스릴러","청소년관람불가","김진황","한국영화아카데미","CGV아트하우스","한국"
"20152782","날, 보러와요","20160407","미스터리|스릴러","청소년관람불가","이철하","올픽처스 주식회사|(주)발렌타인필름","메가박스중앙(주) 플러스엠 엔터테인먼트","한국"
"20159645","특별수사: 사형수의 편지","20160616","범죄|드라마","15세이상관람가","권종관","(주)콘텐츠케이","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20157441","멜리스","20160211","공포(호러)|스릴러","15세이상관람가","김용운","(주)라임오렌지팩토리","(주)드림팩트엔터테인먼트","한국"
"20164541","타부-새누나","20160616","멜로/로맨스|스릴러","청소년관람불가","이슬","(주)콘텐츠윙","(주)콘텐츠윙","한국"
"20164741","동호회의 목적","20160616","멜로/로맨스","청소년관람불가","조경훈","(주)영화사 사계절|펀펀한영화사","(주)영화사 사계절","한국"
"20165381","탐정사무소-평강공주와 바보온달 무삭제판","20160615","스릴러|드라마","청소년관람불가","이동현","(주)매니아22 ","(주)나우콘텐츠","한국"
"20155335","두 개의 연애","20160414","멜로/로맨스","15세이상관람가","조성규","하준사","(주)드림팩트엔터테인먼트","한국"
"20130785","애비","20160512","드라마","청소년관람불가","장현수","웅 픽쳐스","웅 픽쳐스","한국"
