collected_at,collection_status,collection_note,chart_year,rank,movie_name,worldwide_gross_usd,domestic_gross_usd,domestic_share_pct,foreign_gross_usd,foreign_share_pct,domestic_release_date_from_group,domestic_opening_gross_from_group_usd,domestic_total_gross_from_group_usd,open_date,genre,rating,distributor,opening_gross_usd,opening_theaters,widest_release_theaters,running_time,source_chart_url,source_release_group_url,source_domestic_release_url
2026-04-14T16:06:15.862Z,success,,2017,67,Captain Underpants: The First Epic Movie,125427681,73921000,58.9,51506681,41.1,"Jun 2, 2017",23851539,73921000,"Jun 2, 2017",Action|Adventure|Animation|Comedy|Family|Sci-Fi,PG,Twentieth Century Fox,23851539,3434,3529,1 hr 29 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2850247173/,https://www.boxofficemojo.com/release/rl1867023873/
2026-04-14T16:06:15.862Z,success,,2017,68,The Lego Ninjago Movie,123681555,59281555,47.9,64400000,52.1,"Sep 22, 2017",20433071,59281555,"Sep 22, 2017",Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi|Thriller,PG,Warner Bros.,20433071,4047,4047,1 hr 41 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr912806405/,https://www.boxofficemojo.com/release/rl1567065601/
2026-04-14T16:06:15.862Z,success,,2017,69,Secret Superstar,122026260,,,122026260,100,"Oct 18, 2017",,13850,"Oct 18, 2017",Drama|Music,,,,,,2 hr 30 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2387956229/,https://www.boxofficemojo.com/release/rl4077028865/
2026-04-14T16:06:15.862Z,success,,2017,70,The Commuter,119942387,36343858,30.3,83598529,69.7,"Jan 12, 2018",13701452,36343858,"Jan 12, 2018",Action|Mystery|Thriller,PG-13,Lionsgate,13701452,2892,2892,1 hr 44 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr4294201861/,https://www.boxofficemojo.com/release/rl2155775489/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,71,Forever Young,119055731,,,119055731,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3124843013/,
2026-04-14T16:06:15.862Z,success,,2017,72,The Dark Tower,113231078,50701325,44.8,62529753,55.2,"Aug 4, 2017",19153698,50701325,"Aug 4, 2017",Action|Adventure|Drama|Fantasy|Sci-Fi|Western,PG-13,Sony Pictures Releasing,19153698,3451,3451,1 hr 35 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr2280739333/,https://www.boxofficemojo.com/release/rl2035058177/
2026-04-14T16:06:15.862Z,success,,2017,73,Buddies in India,110155128,293194,0.3,109861934,99.7,"Jan 27, 2017",181705,293194,"Jan 27, 2017",Action|Comedy,,China Lion Film Distribution,181705,55,55,1 hr 39 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr175329797/,https://www.boxofficemojo.com/release/rl671122945/
2026-04-14T16:06:15.862Z,success,,2017,74,Along With the Gods: The Two Worlds,109383972,1908823,1.7,107475149,98.3,"Dec 22, 2017",185546,1908823,"Dec 22, 2017",Action|Adventure|Drama|Fantasy|Thriller,,Well Go USA Entertainment,185546,17,35,2 hr 19 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3791999493/,https://www.boxofficemojo.com/release/rl3422717441/
2026-04-14T16:06:15.862Z,release_detail_missing,Domestic release detail page was not available from the release group page.,2017,75,Immortal Demon Slayer,103818506,,,103818506,100,,,,,,,,,,,,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr3873067525/,
2026-04-14T16:06:15.862Z,success,,2017,76,Jigsaw,102952888,38052832,37,64900056,63,"Oct 27, 2017",16640452,38052832,"Oct 27, 2017",Horror|Mystery|Thriller,R,Lionsgate,16640452,2941,2941,1 hr 32 min,https://www.boxofficemojo.com/year/world/2017/,https://www.boxofficemojo.com/releasegroup/gr55267845/,https://www.boxofficemojo.com/release/rl2172552705/
